EmployeeId,StartDate,Salary,EndDate
1,1992-05-01,1000.00,1992-12-31
1,1993-01-01,1200.00,1993-12-31
1,1994-01-01,1400.00,1994-12-31
1,1995-01-01,1800.00,1995-12-31
1,1996-01-01,2000.00,
2,1992-08-14,6000.00,1993-12-31
2,1994-01-01,7000.00,1995-12-31
2,1996-01-01,8000.00,1999-12-31
2,2000-01-01,9000.00,
3,1992-04-01,1000.00,1992-12-31
3,1993-01-01,2000.00,1993-06-30
3,1993-07-01,3000.00,1994-12-31
3,1995-01-01,4000.00,1996-12-31
3,1997-01-01,5000.00,1998-12-31
3,1999-01-01,6000.00,
4,1993-05-03,2000.00,1993-12-31
4,1994-01-01,2100.00,1994-12-31
4,1995-01-01,2400.00,1995-12-31
4,1996-01-01,2600.00,1996-12-31
4,1997-01-01,2700.00,1998-12-31
4,1999-01-01,3000.00,
5,1993-10-17,4000.00,1996-12-31
5,1997-01-01,5000.00,
6,1993-10-17,2000.00,1996-12-31
6,1997-01-01,3600.00,
7,1994-01-02,2500.00,1996-12-31
7,1997-01-01,3000.00,
8,1994-03-05,4000.00,1995-12-31
8,1996-01-01,5000.00,1997-12-31
8,1998-01-01,4000.00,
9,1994-11-15,5200.00,